FIPS,FI Rate,Low Threshold Type,High Threshold Type,Cost Per Meal,Year,Rent
6085,0.088,,,4.81,2022,
6085,0.099,,,4.31,2023,
6087,0.09,,,4.72,2021,
6087,0.116,,,5.31,2022,
6087,0.124,,,4.88,2023,
6089,0.124,,,3.97,2021,
6089,0.139,,,4.32,2022,
6089,0.146,,,3.91,2023,
6091,0.087,,,5.16,2021,
6091,0.126,,,5.61,2022,
6091,0.137,,,5.05,2023,
6093,0.137,,,3.9,2021,
6093,0.155,,,4.31,2022,
6093,0.16,,,3.83,2023,
6095,0.083,,,3.9,2021,
6095,0.1,,,4.28,2022,
6095,0.117,,,3.81,2023,
6097,0.083,,,4.61,2021,
6097,0.105,,,5.01,2022,
6097,0.114,,,4.56,2023,
6099,0.11,,,3.86,2021,
6099,0.136,,,4.24,2022,
6099,0.142,,,3.8,2023,
6101,0.117,,,3.73,2021,
6101,0.143,,,4.14,2022,
6101,0.159,,,3.62,2023,
6103,0.134,,,3.67,2021,
6103,0.152,,,4.07,2022,
6103,0.155,,,3.66,2023,
6105,0.147,,,3.97,2021,
6105,0.161,,,4.32,2022,
6105,0.161,,,3.91,2023,
6107,0.136,,,3.62,2021,
6107,0.166,,,3.96,2022,
6107,0.172,,,3.48,2023,
6109,0.11,,,4.25,2021,
6109,0.134,,,4.64,2022,
6109,0.139,,,4.23,2023,
6111,0.08,,,4.03,2021,
6111,0.105,,,4.42,2022,
6111,0.115,,,3.96,2023,
6113,0.096,,,4.0,2021,
6113,0.123,,,4.39,2022,
6113,0.13,,,3.95,2023,
6115,0.122,,,3.42,2021,
6115,0.145,,,3.82,2022,
6115,0.152,,,3.44,2023,
8001,0.09,,,3.72,2021,
8001,0.116,,,4.12,2022,
8001,0.125,,,3.67,2023,
8003,0.121,,,4.25,2021,
8003,0.149,,,4.68,2022,
8003,0.177,,,4.23,2023,
8005,0.083,,,3.98,2021,
8005,0.103,,,4.38,2022,
8005,0.118,,,3.9,2023,
8007,0.103,,,4.39,2021,
8007,0.12,,,4.87,2022,
8007,0.131,,,4.46,2023,
8009,0.135,,,3.07,2021,
8009,0.172,,,3.44,2022,
8009,0.182,,,3.1,2023,
8011,0.166,,,3.57,2021,
8011,0.195,,,3.95,2022,
8011,0.215,,,3.52,2023,
8013,0.085,,,4.63,2021,
8013,0.105,,,5.06,2022,
8013,0.115,,,4.45,2023,
8014,0.071,,,4.13,2021,
8014,0.093,,,4.59,2022,
8014,0.104,,,4.19,2023,
8015,0.097,,,3.7,2021,
8015,0.126,,,4.11,2022,
8015,0.123,,,3.71,2023,
8017,0.086,,,3.12,2021,
8017,0.112,,,3.48,2022,
8017,0.124,,,3.14,2023,
8019,0.084,,,4.19,2021,
8019,0.102,,,4.68,2022,
8019,0.105,,,4.19,2023,
