RegionID,SizeRank,RegionName,RegionType,StateName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
394640,53,"Grand Rapids, MI",msa,MI,135112.46989474117,130819.31772122516,124640.31471781344,126981.66537446738,138036.44386395768,149660.36069866712,159949.5232370576,174519.24007591727,190842.13598399438,205254.3406621128,217785.5363386644,233294.12926747793,270163.4470908285,305036.73869240494,314637.70032573276,330534.82796927285
395167,54,"Tucson, AZ",msa,AZ,183023.19013979685,167716.23046082558,147724.91978611497,146163.75874104045,162215.9738792602,171808.43071430104,176751.06436213967,184063.56541833197,198421.77578773376,209375.46205444992,224444.35582085454,243013.0938421321,292137.0977848991,343012.7896373943,343472.4469154118,352688.02039366076
753924,55,"Urban Honolulu, HI",msa,HI,465236.80924429046,459804.9709417604,467221.49476718367,463388.8148592261,488715.8794807812,525505.291065573,555189.378283128,587793.1891486516,625569.5872053521,656101.5344400638,661773.8018254655,671402.0102693812,744909.168399658,859535.9544463136,846609.7277412718,850765.5803061132
395169,56,"Tulsa, OK",msa,OK,130433.16174942395,131268.0848363997,125955.22728368793,124676.24876147334,127642.25427829743,130921.40628386522,136160.84296592473,140182.11465952438,147320.75302105062,150287.44561565694,156787.59251736218,169946.65380967045,194337.84578035257,221032.35777574286,230182.49077411115,239518.37790379243
394619,57,"Fresno, CA",msa,CA,178054.47345690406,167985.74916996455,148775.37848298586,148570.6964438892,170411.76412345792,192557.9011185232,204598.4645619949,219699.33370756623,237155.35693001514,259160.0424944992,272790.9417916234,287095.9090771417,334421.9622867681,385474.2179239316,384442.50287308934,401162.8014623522
395238,58,"Worcester, MA",msa,MA,245304.98157850237,243325.93832777676,228834.63401431462,212120.14002552346,215713.1128224089,225933.1289550066,233795.6169918312,246401.284268145,263265.72936730296,280998.2342323757,291316.9876664746,311073.5264348408,360275.2648576047,398652.401610702,421828.478887016,455940.4072453698
394938,59,"Omaha, NE",msa,NE,146467.28906363333,148907.91896874193,142037.50113135282,141086.17758151036,145703.85651391072,150181.02882844693,156742.8175605611,165712.6464189687,175345.41664288743,186986.7247527653,197782.8670540345,213278.02995885035,241862.47382350385,268371.5527949636,283603.75563918805,294395.23165150604
394415,60,"Bridgeport, CT",msa,CT,426935.21580156934,406833.6417510979,383521.9319446453,376619.1662239794,386431.68957000045,400479.734256461,405350.63186060096,409819.6578481519,417520.15827440773,421216.1838570494,419376.5938784453,430131.4811386331,495216.74839425314,549031.047944144,581279.058984921,633290.3560320215
394653,61,"Greenville, SC",msa,SC,146802.36265777546,143301.55479726492,138456.43385015414,137503.6515057976,140976.17930032642,146604.90159722458,153895.38564418408,164210.38731051754,174261.25500733402,186675.2194518315,196097.25650085564,209452.98670176466,238180.5671362209,279045.1718153705,293921.0173033426,302975.21625400113
394312,62,"Albuquerque, NM",msa,NM,184785.5717746813,179507.64535728554,169349.33975364562,164542.9587677238,166958.59285249127,169597.57585742694,173465.52622373946,181071.53366548152,186932.42108011575,194644.12417173618,206652.45177020036,224816.11430935728,263144.98708337656,304838.14929515927,319154.3494152037,336153.08475418756
394357,63,"Bakersfield, CA",msa,CA,144846.54658118237,134091.59656524312,123901.04446015855,126678.8263463067,149207.29092890336,171309.17268890643,183435.37246482342,194324.24143201963,203561.2214482564,216992.41322343427,228791.9737405059,243787.92424375194,283835.26719661936,329172.68361854303,335211.4398144415,354263.5404065132
394308,64,"Albany, NY",msa,NY,214424.17128664546,213875.26239643455,206867.76286872666,202980.90268713245,205132.60824887964,206377.49644768352,207975.11432641104,212841.1636289075,219764.42153953572,230354.3087058713,238891.76542149877,250315.75045323526,278938.20448063273,305816.2107382495,321071.0227221107,341137.58608932624
394753,65,"Knoxville, TN",msa,TN,150605.1456317161,147989.22913228843,144341.0507586356,143450.66464110618,145780.71207440944,150321.22841725644,154974.91494635752,162171.45746972755,170959.03119302663,182252.30669184114,192631.2292603656,210420.31126740805,249431.07356780084,301251.6997475816,326658.7146855146,350756.10673018167
394367,66,"Baton Rouge, LA",msa,LA,185844.33382673634,184826.9545857208,175577.5216786321,170546.77369327692,171318.77686222896,174178.85280578592,181990.6252261025,187374.32875000665,186444.6196072763,194703.07436114232,198315.32019829718,204354.86123089775,216287.9912062712,233629.32430917412,240072.33802930647,244433.70596819627
394843,67,"McAllen, TX",msa,TX,79922.67550784878,85562.03272484953,86481.26592685096,84728.62853702084,86183.62089178186,90209.16896139858,95161.73002177871,101091.51197337295,104720.48382339113,109520.09190942779,114399.46600009849,124859.6862142263,143712.6430169342,167350.62673394653,180484.54832015882,189941.78238453568
394908,68,"New Haven, CT",msa,CT,246938.53589824904,238226.93013914776,224004.57937338008,210873.8778436907,210110.99351778592,212819.44932827316,211887.0198915247,213680.7938061777,218099.18154172075,223912.2123447839,229844.14549321868,242944.5641851898,281579.60082774813,315930.5096036122,339731.96604026225,371680.87577305426
394561,69,"El Paso, TX",msa,TX,133110.9216648843,132888.19318160423,130018.03491903275,126777.9830186185,125683.38962860136,125663.83620323829,127582.04421317852,130257.32164935626,134635.80232756716,136831.14302250723,140262.39648265237,148339.50578899527,168695.73869374392,195211.30311929318,211161.97127318673,221468.75398073814
394318,70,"Allentown, PA",msa,PA,209670.0113284334,204097.14059860483,191905.40137391386,183127.28695452356,182173.94088460482,188116.32977147066,189518.89900410656,194513.147208318,201202.66670620584,210839.74737885015,218566.9851532099,233030.48930800872,268364.9098081745,301803.8823689698,317613.67430456914,339210.1868865078
394952,71,"Oxnard, CA",msa,CA,432602.1058154173,431993.31473833625,410922.8648228028,383825.01909733796,434713.20853085915,488018.48607606516,515974.22703527985,548630.8368731956,580152.4147051544,610381.4488385363,619045.2505047045,643194.3662748871,737815.3117024844,831284.1356695062,827042.4008288776,875025.7662335053
