FIPS,Year,Rent,Houseless_rate,Sheltered_rate,Unsheltered_rate,TOT_POP,TOT_MALE,TOT_FEMALE,TOT_WHITE,TOT_BLACK,TOT_NATIVE,TOT_ASIAN,TOT_PACIFIC,TOT_LATINX,FI Rate,Cost Per Meal,Num_wholesale,Num_restaraunts,Num_grocery,Total_workforce,Employed,Unemployed,Unemployment_rate,coc_number,State,County,State/County,Low Threshold Type,High Threshold Type,percent_male,percent_female,percent_white,percent_black,percent_native,percent_asian,percent_pacific,percent_latinx,percent_nonwhite,gender_ratio,prop_sheltered,prop_unsheltered,wholesale_per_capita,restaurants_per_capita,grocery_per_capita,grocery_to_restaurant_ratio,wholesale_to_restaurant_ratio,grocery_to_wholesale_ratio,employment_rate,unemployment_rate_calc,workforce_participation_rate,monthly_food_cost,food_to_rent_ratio,log_rent,log_cost_per_meal,log_total_workforce,majority_race,delta_FI_rate,delta_unemployment_rate,delta_rent,delta_cost_per_meal,STATE,FI_prev,Predicted FI Rate
01099,2023,,,,,,,,,,,,,,0.197,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.0,,,1.4816045409242156,,white,0.011,,,-0.3799999999999999,01,0.186,0.19345768025322474
01101,2023,,,,,,,,,,,,,,0.177,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.40000000000003,,,1.5390154481375546,,white,0.0169999999999999,,,-0.5499999999999998,01,0.16,0.17453253115964162
01103,2023,,,,,,,,,,,,,,0.165,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.70000000000005,,,1.5325568680981427,,white,0.001,,,-0.4400000000000004,01,0.164,0.16284337343373012
01105,2023,,,,,,,,,,,,,,0.23,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.1,,,1.501852701754163,,white,0.016,,,-0.4499999999999997,01,0.214,0.22440999147145468
01107,2023,,,,,,,,,,,,,,0.202,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.00000000000006,,,1.547562508716013,,white,0.009,,,-0.3999999999999994,01,0.193,0.1977058558665198
01109,2023,,,,,,,,,,,,,,0.179,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.99999999999994,,,1.5686159179138452,,white,0.0089999999999999,,,-0.4400000000000004,01,0.17,0.17601057281967358
01111,2023,,,,,,,,,,,,,,0.182,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.90000000000003,,,1.483874689458755,,white,-0.002,,,-0.27,01,0.184,0.17900738248579884
01113,2023,,,,,,,,,,,,,,0.2,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.6,,,1.5129270120532563,,white,0.012,,,-0.4199999999999999,01,0.188,0.19611970097568443
01115,2023,,,,,,,,,,,,,,0.149,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.3,,,1.56234630490025,,white,-0.003,,,-0.4300000000000001,01,0.152,0.14754715576838373
01117,2023,,,,,,,,,,,,,,0.124,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.6,,,1.6174060820832772,,white,-0.001,,,-0.5099999999999998,01,0.125,0.12379878664736876
01119,2023,,,,,,,,,,,,,,0.196,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.8,,,1.4861396960896067,,white,0.009,,,-0.4399999999999999,01,0.187,0.1924070871210185
01121,2023,,,,,,,,,,,,,,0.186,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0,,,1.5260563034950494,,white,0.005,,,-0.2099999999999999,01,0.181,0.18278334752784164
01123,2023,,,,,,,,,,,,,,0.178,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.70000000000005,,,1.5325568680981427,,white,0.002,,,-0.4299999999999997,01,0.176,0.17506174860811885
01125,2023,,,,,,,,,,,,,,0.16,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,,1.6094379124341005,,white,0.008,,,-0.54,01,0.152,0.15786996517287644
01127,2023,,,,,,,,,,,,,,0.197,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.70000000000005,,,1.4883995840570443,,white,0.002,,,-0.3999999999999999,01,0.195,0.19311822909572285
01129,2023,,,,,,,,,,,,,,0.174,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.5,,,1.4701758451005928,,white,0.0119999999999999,,,-0.3799999999999999,01,0.162,0.1719964827323598
01131,2023,,,,,,,,,,,,,,0.222,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.4,,,1.4951487660319729,,white,0.0239999999999999,,,-0.3900000000000001,01,0.198,0.21723720251655487
01133,2023,,,,,,,,,,,,,,0.202,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.4,,,1.449269160281279,,white,0.002,,,-0.33,01,0.2,0.1980256443236058
02013,2023,,,,,,,,,,,,,,0.138,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.9,,,1.742219023667919,,white,0.016,,,-0.4800000000000004,02,0.122,0.13652566170157854
02016,2023,,,,,,,,,,,,,,0.149,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.9,,,1.742219023667919,,white,0.0209999999999999,,,-0.4800000000000004,02,0.128,0.14699762103503777
02020,2023,,,,,,,,,,,,,,0.127,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.50000000000006,,,1.6956156086751528,,white,0.015,,,-0.5999999999999996,02,0.112,0.1265228873339369
02050,2023,,,,,,,,,,,,,,0.208,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.1,,,1.790091412127358,,white,0.0059999999999999,,,-0.5099999999999998,02,0.202,0.20134432021808857
02060,2023,,,,,,,,,,,,,,0.155,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.9,,,1.742219023667919,,white,0.0199999999999999,,,-0.4800000000000004,02,0.135,0.15258686360643636
02063,2023,,,,,,,,,,,,,,0.123,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.50000000000006,,,1.6956156086751528,,white,0.0129999999999999,,,-0.5999999999999996,02,0.11,0.12270891503655734
02066,2023,,,,,,,,,,,,,,0.186,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.9,,,1.724550719534605,,white,0.0199999999999999,,,-0.4799999999999995,02,0.166,0.18178509236555074
02068,2023,,,,,,,,,,,,,,0.12,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.7,,,1.691939133945844,,white,0.0139999999999999,,,-0.5300000000000002,02,0.106,0.11998837749449043
02070,2023,,,,,,,,,,,,,,0.165,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.1,,,1.790091412127358,,white,0.012,,,-0.5099999999999998,02,0.153,0.16124966465962165
02090,2023,,,,,,,,,,,,,,0.124,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.7,,,1.691939133945844,,white,0.0129999999999999,,,-0.5300000000000002,02,0.111,0.12370356288586659
02100,2023,,,,,,,,,,,,,,0.142,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.7999999999999,,,1.7083778602890038,,white,0.0149999999999999,,,-0.5600000000000005,02,0.127,0.1404920563644304
02105,2023,,,,,,,,,,,,,,0.166,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.3,,,1.717395053939193,,white,0.017,,,-0.5499999999999998,02,0.149,0.16297674825241237
02110,2023,,,,,,,,,,,,,,0.122,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.0,,,1.7047480922384253,,white,0.018,,,-0.5499999999999998,02,0.104,0.12188376107206256
02122,2023,,,,,,,,,,,,,,0.144,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.49999999999994,,,1.766441661243765,,white,0.0079999999999999,,,-0.4900000000000002,02,0.136,0.1416663597231239
